---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 12-7s 9.518e+01  [-231 2.594e-12 1.796e-12 1.858e-01]  [4 0 4]
 ST 13-1  9.804e+01  [0 1.000e+00 6.426e-01 4.645e-06]  !400 0 53!  WARNING: The linear system solution has not converged
 ST 13-2  1.000e+02  [-36 1.444e-02 9.282e-03 8.516e-08]  !400 0 85!  WARNING: The linear system solution has not converged
 ST 13-3  1.021e+02  [-36 1.424e-02 9.151e-03 2.029e-10]  !400 0 86!  WARNING: The linear system solution has not converged
 ST 13-4  1.040e+02  [-118 1.165e-06 7.489e-07 4.415e-07]  [331 -8 83]
 ST 13-5s 1.045e+02  [-206 4.724e-11 3.035e-11 1.096e-02]  [25 0 36]
 ST 14-1  1.071e+02  [0 1.000e+00 1.050e+00 4.188e-08]  !400 3 50!  WARNING: The linear system solution has not converged
 ST 14-2  1.089e+02  [-35 1.649e-02 1.732e-02 4.481e-08]  !400 0 83!  WARNING: The linear system solution has not converged
 ST 14-3  1.105e+02  [-27 4.400e-02 4.620e-02 1.833e-09]  !400 0 81!  WARNING: The linear system solution has not converged
 ST 14-4  1.121e+02  [-89 3.278e-05 3.442e-05 1.482e-08]  !400 0 82!  WARNING: The linear system solution has not converged
